id,Last Name,First Name,Congress Number,Year at Start of Congress,State Code,Chamber of Congress,Congressional District,Party,Year First Elected,Gender,Size of House Delegation from Member's State,Race,Total Bills Sponsored,Total Bills with Action in Committee,Total Bills with Action Beyond Committee,Total Bills Passed Chamber,Total Bills Became Law,""
879,McCarthy,Carolyn,108.0,2003.0,NY,House of Representative,4.0,Democrat,1996.0,Female,29.0,Caucasian,15.0,0.0,0.0,0.0,0.0,
880,McCarthy,Karen,108.0,2003.0,MO,House of Representative,5.0,Democrat,1994.0,Female,9.0,Caucasian,2.0,1.0,1.0,1.0,1.0,
881,McCollum,Betty,108.0,2003.0,MN,House of Representative,4.0,Democrat,2000.0,Female,8.0,Caucasian,8.0,0.0,0.0,0.0,0.0,
882,McConnell,Mitch,108.0,2003.0,KY,Senate,State-Wide,Republican,1984.0,Male,6.0,Caucasian,13.0,4.0,3.0,1.0,0.0,
883,McCotter,Thaddeus,108.0,2003.0,MI,House of Representative,11.0,Republican,2002.0,Male,15.0,Caucasian,3.0,0.0,0.0,0.0,0.0,
884,McCrery,Jim,108.0,2003.0,LA,House of Representative,4.0,Republican,1988.0,Male,7.0,Caucasian,10.0,1.0,2.0,1.0,0.0,
885,McDermott,Jim,108.0,2003.0,WA,House of Representative,7.0,Republican,1988.0,Male,9.0,Caucasian,12.0,0.0,0.0,0.0,0.0,
886,McGovern,James,108.0,2003.0,MA,House of Representative,3.0,Republican,1996.0,Male,10.0,Caucasian,12.0,1.0,0.0,0.0,0.0,
887,McHugh,John,108.0,2003.0,NY,House of Representative,23.0,Republican,1992.0,Male,29.0,Caucasian,14.0,4.0,4.0,1.0,0.0,
888,McInnis,Scott,108.0,2003.0,CO,House of Representative,3.0,Republican,1992.0,Male,7.0,Caucasian,22.0,4.0,2.0,2.0,2.0,
889,McIntyre,Mike,108.0,2003.0,NC,House of Representative,7.0,Republican,1996.0,Male,13.0,Caucasian,9.0,3.0,0.0,0.0,0.0,
890,McKeon,Howard,108.0,2003.0,CA,House of Representative,25.0,Republican,1992.0,Male,53.0,Caucasian,13.0,5.0,3.0,3.0,2.0,
891,McNulty,Michael,108.0,2003.0,NY,House of Representative,21.0,Republican,1988.0,Male,29.0,Caucasian,12.0,2.0,2.0,2.0,1.0,
892,Meehan,Martin,108.0,2003.0,MA,House of Representative,5.0,Republican,1992.0,Male,10.0,Caucasian,11.0,0.0,0.0,0.0,0.0,
893,Meek,Kendrick,108.0,2003.0,FL,House of Representative,17.0,Democrat,2002.0,Male,25.0,African-American,7.0,1.0,1.0,0.0,0.0,
894,Meeks,Gregory,108.0,2003.0,NY,House of Representative,6.0,Democrat,1998.0,Male,29.0,African-American,14.0,1.0,1.0,1.0,1.0,
895,Menendez,Robert,108.0,2003.0,NJ,House of Representative,13.0,Democrat,1992.0,Male,13.0,Latino/a,9.0,1.0,1.0,1.0,0.0,
896,Mica,John,108.0,2003.0,FL,House of Representative,7.0,Republican,1992.0,Male,25.0,Caucasian,8.0,3.0,2.0,2.0,1.0,
897,Michaud,Michael,108.0,2003.0,ME,House of Representative,2.0,Republican,2002.0,Male,2.0,Caucasian,18.0,2.0,0.0,0.0,0.0,
898,Mikulski,Barbara,108.0,2003.0,MD,Senate,State-Wide,Democrat,1986.0,Female,8.0,Caucasian,19.0,4.0,3.0,2.0,1.0,
899,Millender-McDonald,Juanita,108.0,2003.0,CA,House of Representative,37.0,Democrat,1996.0,Female,53.0,African-American,33.0,2.0,1.0,1.0,1.0,
900,Miller,George,108.0,2003.0,CA,House of Representative,7.0,Republican,1974.0,Male,53.0,Caucasian,25.0,2.0,1.0,1.0,1.0,
901,Miller,Brad,108.0,2003.0,NC,House of Representative,13.0,Republican,2002.0,Male,13.0,Caucasian,3.0,2.0,2.0,2.0,2.0,
902,Miller,Candice,108.0,2003.0,MI,House of Representative,10.0,Republican,2002.0,Female,15.0,Caucasian,6.0,1.0,1.0,1.0,0.0,
903,Miller,Jeff,108.0,2003.0,FL,House of Representative,1.0,Republican,2001.0,Male,25.0,Caucasian,11.0,1.0,1.0,1.0,1.0,
904,Miller,Gary,108.0,2003.0,CA,House of Representative,42.0,Republican,1998.0,Male,53.0,Caucasian,8.0,4.0,3.0,2.0,0.0,
905,Miller,Zell,108.0,2003.0,GA,Senate,State-Wide,Democrat,2000.0,Male,13.0,Caucasian,19.0,6.0,3.0,1.0,0.0,
906,Mollohan,Alan,108.0,2003.0,WV,House of Representative,1.0,Republican,1982.0,Male,3.0,Caucasian,1.0,0.0,0.0,0.0,0.0,
907,Moore,Dennis,108.0,2003.0,KS,House of Representative,3.0,Republican,1998.0,Male,4.0,Caucasian,14.0,1.0,1.0,1.0,1.0,
908,Moran,James,108.0,2003.0,VA,House of Representative,8.0,Republican,1990.0,Male,11.0,Caucasian,12.0,1.0,2.0,1.0,1.0,
909,Moran,Jerry,108.0,2003.0,KS,House of Representative,1.0,Republican,1996.0,Male,4.0,Caucasian,13.0,1.0,1.0,1.0,1.0,
910,Murkowski,Lisa,108.0,2003.0,AK,Senate,State-Wide,Republican,2002.0,Female,1.0,Caucasian,31.0,10.0,6.0,5.0,4.0,
911,Murphy,Tim,108.0,2003.0,PA,House of Representative,18.0,Republican,2002.0,Male,19.0,Caucasian,3.0,0.0,1.0,1.0,0.0,
912,Murray,Patty,108.0,2003.0,WA,Senate,State-Wide,Democrat,1992.0,Female,9.0,Caucasian,17.0,4.0,1.0,1.0,0.0,
913,Murtha,John,108.0,2003.0,PA,House of Representative,12.0,Republican,1974.0,Male,19.0,Caucasian,4.0,2.0,2.0,2.0,2.0,
914,Musgrave,Marilyn,108.0,2003.0,CO,House of Representative,4.0,Republican,2002.0,Female,7.0,Caucasian,8.0,0.0,0.0,0.0,0.0,
915,Myrick,Sue,108.0,2003.0,NC,House of Representative,9.0,Republican,1994.0,Female,13.0,Caucasian,18.0,0.0,0.0,0.0,0.0,
916,Nadler,Jerrold,108.0,2003.0,NY,House of Representative,8.0,Republican,1992.0,Male,29.0,Caucasian,31.0,1.0,1.0,1.0,1.0,
917,Napolitano,Grace,108.0,2003.0,CA,House of Representative,38.0,Democrat,1998.0,Female,53.0,Latino/a,2.0,1.0,1.0,1.0,1.0,
918,Neal,Richard,108.0,2003.0,MA,House of Representative,2.0,Republican,1988.0,Male,10.0,Caucasian,8.0,0.0,1.0,1.0,1.0,
919,Nelson,Ben,108.0,2003.0,NE,Senate,State-Wide,Democrat,2000.0,Male,3.0,Caucasian,16.0,2.0,0.0,0.0,0.0,
920,Nelson,Bill,108.0,2003.0,FL,Senate,State-Wide,Democrat,2000.0,Male,25.0,Caucasian,20.0,2.0,0.0,0.0,0.0,
921,Nethercutt,George,108.0,2003.0,WA,House of Representative,5.0,Republican,1994.0,Male,9.0,Caucasian,19.0,5.0,4.0,4.0,2.0,
922,Neugebauer,Randy,108.0,2003.0,TX,House of Representative,19.0,Republican,2003.0,Male,32.0,Caucasian,7.0,2.0,2.0,2.0,0.0,
923,Ney,Robert,108.0,2003.0,OH,House of Representative,18.0,Republican,1994.0,Male,18.0,Caucasian,11.0,2.0,5.0,5.0,4.0,
924,Nickles,Don,108.0,2003.0,OK,Senate,State-Wide,Republican,1980.0,Male,5.0,Caucasian,12.0,4.0,3.0,1.0,0.0,
925,Northup,Anne,108.0,2003.0,KY,House of Representative,3.0,Republican,1996.0,Female,6.0,Caucasian,0.0,0.0,0.0,0.0,0.0,
926,Norton,Eleanor,108.0,2003.0,DC,House of Representative,1.0,Democrat,1990.0,Female,1.0,African-American,24.0,0.0,2.0,2.0,1.0,
927,Norwood,Charles,108.0,2003.0,GA,House of Representative,9.0,Republican,1994.0,Male,13.0,Caucasian,17.0,7.0,4.0,4.0,0.0,
928,Nunes,Devin,108.0,2003.0,CA,House of Representative,21.0,Republican,2002.0,Male,53.0,Latino/a,11.0,3.0,3.0,2.0,0.0,
929,Nussle,Jim,108.0,2003.0,IA,House of Representative,1.0,Republican,1990.0,Male,5.0,Caucasian,13.0,1.0,3.0,1.0,0.0,
930,Oberstar,James,108.0,2003.0,MN,House of Representative,8.0,Republican,1974.0,Male,8.0,Caucasian,14.0,0.0,0.0,0.0,0.0,
931,Obey,David,108.0,2003.0,WI,House of Representative,7.0,Republican,1969.0,Male,8.0,Caucasian,6.0,0.0,0.0,0.0,0.0,
932,Olver,John,108.0,2003.0,MA,House of Representative,1.0,Republican,1991.0,Male,10.0,Caucasian,3.0,0.0,0.0,0.0,0.0,
933,Ortiz,Solomon,108.0,2003.0,TX,House of Representative,27.0,Democrat,1982.0,Male,32.0,Latino/a,6.0,2.0,3.0,3.0,0.0,
934,Osborne,Tom,108.0,2003.0,NE,House of Representative,3.0,Republican,2000.0,Male,3.0,Caucasian,11.0,5.0,4.0,4.0,1.0,
935,Ose,Doug,108.0,2003.0,CA,House of Representative,3.0,Republican,1998.0,Male,53.0,Caucasian,18.0,6.0,4.0,3.0,2.0,
936,Otter,C.,108.0,2003.0,ID,House of Representative,1.0,Republican,2000.0,Male,2.0,Caucasian,20.0,0.0,1.0,1.0,1.0,
937,Owens,Major,108.0,2003.0,NY,House of Representative,11.0,Democrat,1982.0,Male,29.0,African-American,18.0,0.0,0.0,0.0,0.0,
938,Oxley,Michael,108.0,2003.0,OH,House of Representative,4.0,Republican,1981.0,Male,18.0,Caucasian,3.0,0.0,1.0,1.0,1.0,
939,Pallone,Frank,108.0,2003.0,NJ,House of Representative,6.0,Republican,1988.0,Male,13.0,Caucasian,35.0,0.0,0.0,0.0,0.0,
940,Pascrell,Bill,108.0,2003.0,NJ,House of Representative,8.0,Republican,1996.0,Male,13.0,Caucasian,14.0,0.0,1.0,1.0,1.0,
941,Pastor,Ed,108.0,2003.0,AZ,House of Representative,4.0,Democrat,1991.0,Male,8.0,Latino/a,3.0,0.0,0.0,0.0,0.0,
942,Paul,Ron,108.0,2003.0,TX,House of Representative,14.0,Republican,1996.0,Male,32.0,Caucasian,62.0,1.0,1.0,0.0,0.0,
943,Payne,Donald,108.0,2003.0,NJ,House of Representative,10.0,Democrat,1988.0,Male,13.0,African-American,5.0,0.0,0.0,0.0,0.0,
944,Pearce,Stevan,108.0,2003.0,NM,House of Representative,2.0,Republican,2002.0,Male,3.0,Caucasian,11.0,6.0,4.0,3.0,1.0,
945,Pelosi,Nancy,108.0,2003.0,CA,House of Representative,8.0,Democrat,1987.0,Female,53.0,Caucasian,7.0,0.0,0.0,0.0,0.0,
946,Pence,Mike,108.0,2003.0,IN,House of Representative,6.0,Republican,2000.0,Male,9.0,Caucasian,5.0,0.0,0.0,0.0,0.0,
947,Peterson,Collin,108.0,2003.0,MN,House of Representative,7.0,Republican,1990.0,Male,8.0,Caucasian,18.0,0.0,0.0,0.0,0.0,
948,Peterson,John,108.0,2003.0,PA,House of Representative,5.0,Republican,1996.0,Male,19.0,Caucasian,7.0,3.0,2.0,1.0,0.0,
949,Petri,Thomas,108.0,2003.0,WI,House of Representative,6.0,Republican,1979.0,Male,8.0,Caucasian,13.0,0.0,1.0,1.0,1.0,
950,Pickering,Charles,108.0,2003.0,MS,House of Representative,3.0,Republican,1996.0,Male,4.0,Caucasian,12.0,1.0,1.0,1.0,1.0,
951,Pitts,Joseph,108.0,2003.0,PA,House of Representative,16.0,Republican,1996.0,Male,19.0,Caucasian,14.0,1.0,0.0,0.0,0.0,
952,Platts,Todd,108.0,2003.0,PA,House of Representative,19.0,Republican,2000.0,Male,19.0,Caucasian,15.0,4.0,4.0,1.0,1.0,
953,Pombo,Richard,108.0,2003.0,CA,House of Representative,11.0,Republican,1992.0,Male,53.0,Caucasian,22.0,9.0,12.0,8.0,4.0,
954,Pomeroy,Earl,108.0,2003.0,ND,House of Representative,1.0,Republican,1992.0,Male,1.0,Caucasian,12.0,0.0,0.0,0.0,0.0,
955,Porter,Jon,108.0,2003.0,NV,House of Representative,3.0,Republican,2002.0,Male,3.0,Caucasian,11.0,2.0,3.0,3.0,1.0,
956,Portman,Rob,108.0,2003.0,OH,House of Representative,2.0,Republican,1993.0,Male,18.0,Caucasian,16.0,3.0,3.0,2.0,1.0,
957,Price,David,108.0,2003.0,NC,House of Representative,4.0,Republican,1996.0,Male,13.0,Caucasian,8.0,0.0,0.0,0.0,0.0,
958,Pryce,Deborah,108.0,2003.0,OH,House of Representative,15.0,Republican,1992.0,Female,18.0,Caucasian,6.0,0.0,1.0,1.0,0.0,
959,Pryor,Mark,108.0,2003.0,AR,Senate,State-Wide,Democrat,2002.0,Male,4.0,Caucasian,4.0,0.0,1.0,1.0,0.0,
960,Putnam,Adam,108.0,2003.0,FL,House of Representative,12.0,Republican,2000.0,Male,25.0,Caucasian,4.0,1.0,1.0,1.0,1.0,
961,Quinn,Jack,108.0,2003.0,NY,House of Representative,27.0,Republican,1992.0,Male,29.0,Caucasian,5.0,0.0,0.0,0.0,0.0,
962,Radanovich,George,108.0,2003.0,CA,House of Representative,19.0,Republican,1994.0,Male,53.0,Caucasian,17.0,5.0,5.0,4.0,0.0,
963,Rahall,Nick,108.0,2003.0,WV,House of Representative,3.0,Republican,1976.0,Male,3.0,Caucasian,15.0,1.0,1.0,0.0,0.0,
964,Ramstad,Jim,108.0,2003.0,MN,House of Representative,3.0,Republican,1990.0,Male,8.0,Caucasian,18.0,0.0,0.0,0.0,0.0,
965,Rangel,Charles,108.0,2003.0,NY,House of Representative,15.0,Democrat,1970.0,Male,29.0,African-American,40.0,3.0,4.0,2.0,2.0,
966,Reed,Jack,108.0,2003.0,RI,Senate,State-Wide,Democrat,1996.0,Male,2.0,Caucasian,18.0,2.0,3.0,3.0,1.0,
967,Regula,Ralph,108.0,2003.0,OH,House of Representative,16.0,Republican,1972.0,Male,18.0,Caucasian,12.0,6.0,6.0,5.0,2.0,
968,Rehberg,Denny,108.0,2003.0,MT,House of Representative,1.0,Republican,2000.0,Male,1.0,Caucasian,11.0,4.0,2.0,1.0,0.0,
969,Reid,Harry,108.0,2003.0,NV,Senate,State-Wide,Democrat,1986.0,Male,3.0,Caucasian,40.0,8.0,4.0,4.0,0.0,
970,Renzi,Rick,108.0,2003.0,AZ,House of Representative,1.0,Republican,2002.0,Male,8.0,Caucasian,29.0,9.0,8.0,8.0,6.0,
971,Reyes,Silvestre,108.0,2003.0,TX,House of Representative,16.0,Democrat,1996.0,Male,32.0,Latino/a,9.0,3.0,1.0,0.0,0.0,
972,Reynolds,Thomas,108.0,2003.0,NY,House of Representative,26.0,Republican,1998.0,Male,29.0,Caucasian,16.0,1.0,1.0,1.0,1.0,
973,Roberts,Pat,108.0,2003.0,KS,Senate,State-Wide,Republican,1996.0,Male,4.0,Caucasian,13.0,4.0,5.0,3.0,2.0,
974,Rockefeller,John,108.0,2003.0,WV,Senate,State-Wide,Democrat,1984.0,Male,3.0,Caucasian,26.0,2.0,2.0,1.0,0.0,
975,Rodriguez,Ciro,108.0,2003.0,TX,House of Representative,28.0,Democrat,1997.0,Male,32.0,Latino/a,12.0,2.0,1.0,1.0,0.0,
976,Rogers,Harold,108.0,2003.0,KY,House of Representative,5.0,Republican,1980.0,Male,6.0,Caucasian,3.0,2.0,2.0,2.0,2.0,
977,Rogers,Mike,108.0,2003.0,MI,House of Representative,8.0,Republican,2000.0,Male,15.0,Caucasian,5.0,1.0,0.0,0.0,0.0,
978,Rogers,Mike,108.0,2003.0,AL,House of Representative,3.0,Republican,2002.0,Male,7.0,Caucasian,2.0,1.0,1.0,1.0,0.0,
979,Rohrabacher,Dana,108.0,2003.0,CA,House of Representative,46.0,Republican,1988.0,Male,53.0,Caucasian,27.0,4.0,4.0,3.0,1.0,
980,Ros-Lehtinen,Ileana,108.0,2003.0,FL,House of Representative,18.0,Republican,1989.0,Female,25.0,Latino/a,9.0,2.0,1.0,1.0,1.0,
981,Ross,Mike,108.0,2003.0,AR,House of Representative,4.0,Democrat,2000.0,Male,4.0,Caucasian,6.0,2.0,0.0,0.0,0.0,
982,Rothman,Steven,108.0,2003.0,NJ,House of Representative,9.0,Democrat,1996.0,Male,13.0,Caucasian,11.0,2.0,2.0,1.0,1.0,
983,Roybal-Allard,Lucille,108.0,2003.0,CA,House of Representative,34.0,Democrat,1992.0,Female,53.0,Latino/a,4.0,0.0,0.0,0.0,0.0,
984,Royce,Edward,108.0,2003.0,CA,House of Representative,40.0,Republican,1992.0,Male,53.0,Caucasian,11.0,0.0,1.0,1.0,0.0,
985,Ruppersberger,C.,108.0,2003.0,MD,House of Representative,2.0,Democrat,2002.0,Male,8.0,Caucasian,7.0,0.0,0.0,0.0,0.0,
986,Rush,Bobby,108.0,2003.0,IL,House of Representative,1.0,Democrat,1992.0,Male,19.0,African-American,7.0,1.0,1.0,1.0,1.0,
987,Ryan,Tim,108.0,2003.0,OH,House of Representative,17.0,Democrat,2002.0,Male,18.0,Caucasian,8.0,1.0,2.0,2.0,1.0,
988,Ryan,Paul,108.0,2003.0,WI,House of Representative,1.0,Republican,1998.0,Male,8.0,Caucasian,13.0,0.0,3.0,2.0,1.0,
989,Ryun,Jim,108.0,2003.0,KS,House of Representative,2.0,Republican,1996.0,Male,4.0,Caucasian,9.0,2.0,1.0,1.0,1.0,
990,Sabo,Martin,108.0,2003.0,MN,House of Representative,5.0,Democrat,1978.0,Male,8.0,Caucasian,4.0,0.0,0.0,0.0,0.0,
991,Sanchez,Loretta,108.0,2003.0,CA,House of Representative,47.0,Democrat,1996.0,Female,53.0,Latino/a,14.0,1.0,1.0,1.0,0.0,
992,Sanchez,Linda,108.0,2003.0,CA,House of Representative,39.0,Democrat,2002.0,Female,53.0,Latino/a,5.0,0.0,0.0,0.0,0.0,
993,Sanders,Bernard,108.0,2003.0,VT,House of Representative,1.0,Independent,1990.0,Male,1.0,Caucasian,16.0,0.0,0.0,0.0,0.0,
994,Sandlin,Max,108.0,2003.0,TX,House of Representative,1.0,Democrat,1996.0,Male,32.0,Caucasian,7.0,0.0,0.0,0.0,0.0,
995,Santorum,Rick,108.0,2003.0,PA,Senate,State-Wide,Republican,1994.0,Male,19.0,Caucasian,46.0,2.0,2.0,2.0,2.0,
996,Sarbanes,Paul,108.0,2003.0,MD,Senate,State-Wide,Democrat,1976.0,Male,8.0,Caucasian,16.0,2.0,2.0,2.0,1.0,
997,Saxton,Jim,108.0,2003.0,NJ,House of Representative,3.0,Republican,1984.0,Male,13.0,Caucasian,35.0,3.0,1.0,1.0,1.0,
998,Schakowsky,Janice,108.0,2003.0,IL,House of Representative,9.0,Republican,1998.0,Female,19.0,Caucasian,14.0,0.0,0.0,0.0,0.0,
999,Schiff,Adam,108.0,2003.0,CA,House of Representative,29.0,Republican,2000.0,Male,53.0,Caucasian,16.0,2.0,1.0,1.0,1.0,
1000,Schrock,Edward,108.0,2003.0,VA,House of Representative,2.0,Republican,2000.0,Male,11.0,Caucasian,5.0,1.0,1.0,1.0,0.0,
1001,Schumer,Charles,108.0,2003.0,NY,Senate,State-Wide,Democrat,1998.0,Male,29.0,Caucasian,56.0,11.0,10.0,6.0,3.0,
1002,Scott,Robert,108.0,2003.0,VA,House of Representative,3.0,Republican,1992.0,Male,11.0,"African-American, Asian-American",4.0,1.0,0.0,0.0,0.0,
1003,Scott,David,108.0,2003.0,GA,House of Representative,13.0,Democrat,2002.0,Male,13.0,African-American,6.0,0.0,1.0,1.0,1.0,
1004,Sensenbrenner,F.,108.0,2003.0,WI,House of Representative,5.0,Republican,1978.0,Male,8.0,Caucasian,33.0,16.0,20.0,19.0,9.0,
1005,Serrano,Jose,108.0,2003.0,NY,House of Representative,16.0,Democrat,1990.0,Male,29.0,Latino/a,12.0,0.0,0.0,0.0,0.0,
1006,Sessions,Pete,108.0,2003.0,TX,House of Representative,32.0,Republican,1996.0,Male,32.0,Caucasian,20.0,3.0,4.0,2.0,0.0,
1007,Sessions,Jeff,108.0,2003.0,AL,Senate,State-Wide,Republican,1996.0,Male,7.0,Caucasian,10.0,1.0,2.0,2.0,2.0,
1008,Shadegg,John,108.0,2003.0,AZ,House of Representative,3.0,Republican,1994.0,Male,8.0,Caucasian,19.0,0.0,0.0,0.0,0.0,
1009,Shaw,E.,108.0,2003.0,FL,House of Representative,22.0,Republican,1980.0,Male,25.0,Caucasian,19.0,3.0,3.0,2.0,2.0,
1010,Shays,Christopher,108.0,2003.0,CT,House of Representative,4.0,Republican,1987.0,Male,5.0,Caucasian,21.0,0.0,1.0,1.0,1.0,
1011,Shelby,Richard,108.0,2003.0,AL,Senate,State-Wide,Republican,1986.0,Male,7.0,Caucasian,14.0,5.0,8.0,3.0,1.0,
1012,Sherman,Brad,108.0,2003.0,CA,House of Representative,27.0,Republican,1996.0,Male,53.0,Caucasian,10.0,0.0,0.0,0.0,0.0,
1013,Sherwood,Don,108.0,2003.0,PA,House of Representative,10.0,Republican,1998.0,Male,19.0,Caucasian,3.0,1.0,1.0,0.0,0.0,
1014,Shimkus,John,108.0,2003.0,IL,House of Representative,19.0,Republican,1996.0,Male,19.0,Caucasian,15.0,5.0,4.0,4.0,3.0,
1015,Shuster,Bill,108.0,2003.0,PA,House of Representative,9.0,Republican,2001.0,Male,19.0,Caucasian,8.0,0.0,0.0,0.0,0.0,
1016,Simmons,Rob,108.0,2003.0,CT,House of Representative,2.0,Republican,2000.0,Male,5.0,Caucasian,19.0,4.0,4.0,4.0,2.0,
1017,Simpson,Michael,108.0,2003.0,ID,House of Representative,2.0,Republican,1998.0,Male,2.0,Caucasian,13.0,3.0,0.0,0.0,1.0,
1018,Skelton,Ike,108.0,2003.0,MO,House of Representative,4.0,Republican,1976.0,Male,9.0,Caucasian,2.0,0.0,0.0,0.0,0.0,
1019,Slaughter,Louise,108.0,2003.0,NY,House of Representative,28.0,Republican,1986.0,Female,29.0,Caucasian,18.0,1.0,0.0,0.0,0.0,
1020,Smith,Adam,108.0,2003.0,WA,House of Representative,9.0,Republican,1996.0,Male,9.0,Caucasian,15.0,2.0,1.0,0.0,0.0,
1021,Smith,Christopher,108.0,2003.0,NJ,House of Representative,4.0,Republican,1980.0,Male,13.0,Caucasian,41.0,19.0,17.0,15.0,13.0,
1022,Smith,Nick,108.0,2003.0,MI,House of Representative,7.0,Republican,1992.0,Male,15.0,Caucasian,17.0,3.0,3.0,2.0,1.0,
1023,Smith,Lamar,108.0,2003.0,TX,House of Representative,21.0,Republican,1986.0,Male,32.0,Caucasian,20.0,16.0,12.0,9.0,4.0,
1024,Smith,Gordon,108.0,2003.0,OR,Senate,State-Wide,Republican,1996.0,Male,5.0,Caucasian,51.0,11.0,6.0,4.0,0.0,
1025,Snowe,Olympia,108.0,2003.0,ME,Senate,State-Wide,Republican,1994.0,Female,2.0,Caucasian,85.0,7.0,12.0,11.0,3.0,
1026,Snyder,Vic,108.0,2003.0,AR,House of Representative,2.0,Republican,1996.0,Male,4.0,Caucasian,3.0,1.0,1.0,1.0,1.0,
1027,Solis,Hilda,108.0,2003.0,CA,House of Representative,32.0,Democrat,2000.0,Female,53.0,Latino/a,11.0,2.0,2.0,2.0,2.0,
1028,Souder,Mark,108.0,2003.0,IN,House of Representative,3.0,Republican,1994.0,Male,9.0,Caucasian,12.0,3.0,4.0,3.0,0.0,
1029,Specter,Arlen,108.0,2003.0,PA,Senate,State-Wide,Republican,1980.0,Male,19.0,Caucasian,41.0,17.0,14.0,6.0,4.0,
1030,Spratt,John,108.0,2003.0,SC,House of Representative,5.0,Republican,1982.0,Male,6.0,Caucasian,4.0,0.0,0.0,0.0,0.0,
1031,Stabenow,Debbie,108.0,2003.0,MI,Senate,State-Wide,Democrat,2000.0,Female,15.0,Caucasian,23.0,0.0,0.0,0.0,0.0,
1032,Stark,Fortney,108.0,2003.0,CA,House of Representative,13.0,Republican,1972.0,Male,53.0,Caucasian,25.0,0.0,0.0,0.0,0.0,
1033,Stearns,Cliff,108.0,2003.0,FL,House of Representative,6.0,Republican,1988.0,Male,25.0,Caucasian,26.0,4.0,4.0,2.0,1.0,
1034,Stenholm,Charles,108.0,2003.0,TX,House of Representative,17.0,Republican,1978.0,Male,32.0,Caucasian,5.0,0.0,1.0,1.0,1.0,
1035,Stevens,Ted,108.0,2003.0,AK,Senate,State-Wide,Republican,1968.0,Male,1.0,Caucasian,14.0,7.0,9.0,6.0,1.0,
1036,Strickland,Ted,108.0,2003.0,OH,House of Representative,6.0,Democrat,1996.0,Male,18.0,Caucasian,16.0,0.0,0.0,0.0,0.0,
1037,Stupak,Bart,108.0,2003.0,MI,House of Representative,1.0,Democrat,1992.0,Male,15.0,Caucasian,37.0,0.0,0.0,0.0,0.0,
1038,Sullivan,John,108.0,2003.0,OK,House of Representative,1.0,Republican,2002.0,Male,5.0,Caucasian,5.0,0.0,0.0,0.0,0.0,
1039,Sununu,John,108.0,2003.0,NH,Senate,State-Wide,Republican,2002.0,Male,2.0,Caucasian,7.0,2.0,2.0,0.0,0.0,
1040,Sweeney,John,108.0,2003.0,NY,House of Representative,20.0,Republican,1998.0,Male,29.0,Caucasian,18.0,1.0,1.0,1.0,0.0,
1041,Talent,Jim,108.0,2003.0,MO,Senate,State-Wide,Republican,2002.0,Male,9.0,Caucasian,11.0,5.0,3.0,2.0,1.0,
1042,Tancredo,Thomas,108.0,2003.0,CO,House of Representative,6.0,Republican,1998.0,Male,7.0,Caucasian,19.0,3.0,4.0,3.0,1.0,
1043,Tanner,John,108.0,2003.0,TN,House of Representative,8.0,Democrat,1988.0,Male,9.0,Caucasian,2.0,0.0,0.0,0.0,0.0,
1044,Tauscher,Ellen,108.0,2003.0,CA,House of Representative,10.0,Democrat,1996.0,Female,53.0,Caucasian,5.0,0.0,0.0,0.0,0.0,
1045,Tauzin,W.,108.0,2003.0,LA,House of Representative,3.0,Republican,1980.0,Male,7.0,Caucasian,10.0,3.0,7.0,7.0,4.0,
1046,Taylor,Gene,108.0,2003.0,MS,House of Representative,4.0,Democrat,1989.0,Male,4.0,Caucasian,6.0,2.0,2.0,1.0,1.0,
1047,Taylor,Charles,108.0,2003.0,NC,House of Representative,11.0,Republican,1990.0,Male,13.0,Caucasian,6.0,3.0,3.0,3.0,1.0,
1048,Terry,Lee,108.0,2003.0,NE,House of Representative,2.0,Republican,1998.0,Male,3.0,Caucasian,12.0,0.0,0.0,0.0,0.0,
1049,Thomas,William,108.0,2003.0,CA,House of Representative,22.0,Republican,1978.0,Male,53.0,Caucasian,22.0,8.0,14.0,9.0,5.0,
1050,Thomas,Craig,108.0,2003.0,WY,Senate,State-Wide,Republican,1994.0,Male,1.0,Caucasian,17.0,7.0,4.0,4.0,1.0,
1051,Thompson,Mike,108.0,2003.0,CA,House of Representative,1.0,Democrat,1998.0,Male,53.0,Caucasian,19.0,3.0,2.0,1.0,1.0,
1052,Thompson,Bennie,108.0,2003.0,MS,House of Representative,2.0,Democrat,1993.0,Male,4.0,African-American,5.0,0.0,0.0,0.0,0.0,
1053,Thornberry,Mac,108.0,2003.0,TX,House of Representative,13.0,Republican,1994.0,Male,32.0,Caucasian,6.0,1.0,1.0,1.0,0.0,
1054,Tiahrt,Todd,108.0,2003.0,KS,House of Representative,4.0,Republican,1994.0,Male,4.0,Caucasian,10.0,2.0,3.0,2.0,1.0,
1055,Tiberi,Patrick,108.0,2003.0,OH,House of Representative,12.0,Republican,2000.0,Male,18.0,Caucasian,5.0,1.0,1.0,0.0,0.0,
1056,Tierney,John,108.0,2003.0,MA,House of Representative,6.0,Democrat,1996.0,Male,10.0,Caucasian,7.0,0.0,0.0,0.0,0.0,
1057,Toomey,Patrick,108.0,2003.0,PA,House of Representative,15.0,Republican,1998.0,Male,19.0,Caucasian,11.0,2.0,1.0,0.0,0.0,
1058,Towns,Edolphus,108.0,2003.0,NY,House of Representative,10.0,Democrat,1982.0,Male,29.0,African-American,12.0,0.0,0.0,0.0,0.0,
