id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
1588,Artin (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,16.0,"1985, June",1985.0
1589,Arthur Reeves (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,16.0,"1970, May",1970.0
1590,Fadir Nasser (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,16.0,"2009, July",2009.0
1591,Nightfall (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,16.0,"1985, January",1985.0
1592,Briscoe (New Earth),Secret Identity,Good Characters,Unknown or None,Black Hair,Deceased Characters,16.0,"1987, May",1987.0
1593,Eve (New Earth),Secret Identity,Good Characters,Unknown or None,Black Hair,Living Characters,16.0,"1972, September",1972.0
1594,Stormy Foster (Earth-X),Secret Identity,Good Characters,Unknown or None,Black Hair,Living Characters,16.0,"1941, December",1941.0
1595,Jeremy Wakefield (New Earth),Secret Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,16.0,"1988, April",1988.0
1596,Chase Lawler (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Deceased Characters,16.0,"1994, October",1994.0
1597,Forager III (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,16.0,"2007, July",2007.0
1598,George Sloan (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,16.0,"1997, June",1997.0
1599,Itty (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,16.0,"1977, March",1977.0
1600,Zviad Baazovi (New Earth),Secret Identity,Neutral Characters,Unknown or None,Black Hair,Living Characters,16.0,"1986, January",1986.0
1601,John Nichol (New Earth),Unknown,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,16.0,"2008, March",2008.0
1602,Hurrambi Marlo (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,16.0,"1985, March",1985.0
1603,Nebiros (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,16.0,"1975, April",1975.0
1604,Hellene (New Earth),Unknown,Good Characters,Unknown or None,Blond Hair,Deceased Characters,16.0,"1988, March",1988.0
1605,Garret Day (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Living Characters,16.0,"2009, May",2009.0
1606,Kalia Campbell (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Living Characters,16.0,"1988, July",1988.0
1607,John Pemberton (New Earth),Unknown,Neutral Characters,Unknown or None,Grey Hair,Living Characters,16.0,"1941, October",1941.0
1608,Bethany Keele (New Earth),Unknown,Neutral Characters,Unknown or None,Unknown or None,Living Characters,16.0,"2008, July",2008.0
1609,Anton Geist (New Earth),Unknown,Neutral Characters,Unknown or None,Unknown or None,Deceased Characters,16.0,"2004, July",2004.0
1610,Yurrd (New Earth),Secret Identity,Bad Characters,White Eyes,Unknown or None,Deceased Characters,16.0,"2006, November",2006.0
1611,Dwayne Wainwright (New Earth),Unknown,Bad Characters,White Eyes,Blond Hair,Living Characters,16.0,"1989, October",1989.0
1612,James Tilton (New Earth),Public Identity,Good Characters,Yellow Eyes,Black Hair,Deceased Characters,16.0,"1996, December",1996.0
1613,Philbert Hoskins (New Earth),Public Identity,Good Characters,Yellow Eyes,Unknown or None,Living Characters,16.0,"1996, December",1996.0
1614,Slobo (New Earth),Secret Identity,Neutral Characters,Yellow Eyes,Black Hair,Living Characters,16.0,"2001, December",2001.0
1615,Reemuz (New Earth),Public Identity,Good Characters,Black Eyes,Unknown or None,Deceased Characters,15.0,"1992, September",1992.0
1616,Jack Gold (New Earth),Public Identity,Neutral Characters,Black Eyes,Unknown or None,Living Characters,15.0,"1982, July",1982.0
1617,Mary Martin (New Earth),Public Identity,Unknown or None,Black Eyes,Black Hair,Living Characters,15.0,"1988, April",1988.0
1618,Thomas Morita (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,15.0,"1977, November",1977.0
1619,Cerberus (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,15.0,"1962, July",1962.0
1620,Sondra Fuller (New Earth),Secret Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,15.0,"1987, July",1987.0
1621,Porm (New Earth),Secret Identity,Good Characters,Black Eyes,Unknown or None,Deceased Characters,15.0,"1991, December",1991.0
1622,Silent Majority (New Earth),Unknown,Bad Characters,Black Eyes,Brown Hair,Deceased Characters,15.0,"1984, September",1984.0
1623,Tri-Eye (New Earth),Unknown,Bad Characters,Black Eyes,Unknown or None,Deceased Characters,15.0,"2008, February",2008.0
1624,Frederick Rhino (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,15.0,"1988, February",1988.0
1625,Elias Orr (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,15.0,"2004, July",2004.0
1626,Starfire (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,15.0,"1976, September",1976.0
1627,Lori Luthor (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,15.0,"2009, October",2009.0
1628,Carl Worth (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,15.0,"2005, October",2005.0
1629,Marj (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,15.0,"1988, December",1988.0
1630,Louis Martin (New Earth),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Living Characters,15.0,"1997, August",1997.0
1631,Marcie Cooper (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,15.0,"1985, May",1985.0
1632,John Starr (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,15.0,"1965, May",1965.0
1633,Devastation (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,15.0,"1999, April",1999.0
1634,John Malone (New Earth),Secret Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,15.0,"1985, January",1985.0
1635,Richard Carter (Earth-One),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,15.0,"1954, January",1954.0
1636,Daniel Carter (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,15.0,"2006, September",2006.0
1637,Soseh Mykros (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,15.0,"2000, October",2000.0
1638,Adam Cray (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,15.0,"1990, August",1990.0
1639,Mortalla (New Earth),Unknown,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,15.0,"2000, November",2000.0
1640,Joseph Gardner (New Earth),Unknown,Bad Characters,Blue Eyes,Red Hair,Living Characters,15.0,"1993, August",1993.0
1641,Patty Spivot (New Earth),Unknown,Good Characters,Blue Eyes,Blond Hair,Living Characters,15.0,"1977, September",1977.0
1642,Amanda Spence (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,15.0,"1996, October",1996.0
1643,Emma Glenn (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,15.0,"2006, September",2006.0
1644,Arturo Rodriguez (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,15.0,"2004, June",2004.0
1645,Io (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,15.0,"2003, November",2003.0
1646,Cissy Chambers (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,15.0,"1995, March",1995.0
1647,Kyle Abbot (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,15.0,"2000, April",2000.0
1648,Simon Valentine (New Earth),Public Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,15.0,"2009, October",2009.0
1649,El Papagayo (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,15.0,"1977, June",1977.0
1650,Faora (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,15.0,"2001, July",2001.0
1651,Nathan Craig Jones (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,15.0,"2001, March",2001.0
1652,Jill Carlyle (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,15.0,"2000, April",2000.0
1653,August Durant (New Earth),Secret Identity,Unknown or None,Brown Eyes,Black Hair,Deceased Characters,15.0,"1968, May",1968.0
1654,Nix Uotan (New Earth),Unknown,Good Characters,Brown Eyes,Brown Hair,Living Characters,15.0,"2007, December",2007.0
1655,Anna Fortune (New Earth),Secret Identity,Good Characters,Gold Eyes,Blond Hair,Living Characters,15.0,"2010, June",2010.0
1656,Nicholas Scratch (New Earth),Public Identity,Bad Characters,Green Eyes,Black Hair,Living Characters,15.0,"1998, December",1998.0
1657,Thaddeus Trigger (New Earth),Public Identity,Bad Characters,Green Eyes,Red Hair,Deceased Characters,15.0,"1993, October",1993.0
1658,Kim Kimura (New Earth),Public Identity,Good Characters,Green Eyes,Green Hair,Living Characters,15.0,"2008, August",2008.0
1659,Lianna (New Earth),Unknown,Neutral Characters,Green Eyes,Black Hair,Living Characters,15.0,"2003, May",2003.0
1660,Bzzd (New Earth),Public Identity,Good Characters,Red Eyes,Unknown or None,Deceased Characters,15.0,"2007, July",2007.0
1661,Elpis (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Living Characters,15.0,"1975, June",1975.0
1662,Blackbriar Thorn (New Earth),Secret Identity,Bad Characters,Red Eyes,Brown Hair,Living Characters,15.0,"1984, February",1984.0
1663,Chiller (New Earth),Secret Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,15.0,"1986, September",1986.0
1664,Belial (New Earth),Unknown,Bad Characters,Red Eyes,Unknown or None,Living Characters,15.0,"1987, March",1987.0
1665,Jax-Ur (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,15.0,"2007, February",2007.0
1666,Death Masque (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,15.0,"1994, July",1994.0
1667,Janwillem Kroef (New Earth),Public Identity,Bad Characters,Unknown or None,White Hair,Living Characters,15.0,"1988, January",1988.0
1668,Yvette DuBois (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,15.0,"1993, October",1993.0
1669,Huvah Jeddigar (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,15.0,"1992, October",1992.0
1670,Jesse Vega (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,15.0,"1989, August",1989.0
1671,Gene LaBostrie (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,15.0,"1987, September",1987.0
1672,Murray Takamoto (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,15.0,"1986, June",1986.0
1673,Memakata (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,15.0,"1963, May",1963.0
1674,Eileen Flowers (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,15.0,"1988, April",1988.0
1675,Jed Paulsen (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,15.0,"1974, December",1974.0
1676,Guinevere (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,15.0,"1936, February",1936.0
1677,Paul Hoben (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,15.0,"1983, September",1983.0
1678,William Craig (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,15.0,"1982, August",1982.0
1679,Josephine Tautin (New Earth),Public Identity,Good Characters,Unknown or None,Red Hair,Living Characters,15.0,"2006, October",2006.0
1680,Sleer Prigatz (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,15.0,"1992, October",1992.0
1681,Calvin Durham (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,15.0,"1977, September",1977.0
1682,Archibald Asher (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,15.0,"1961, May",1961.0
1683,Simon Peters (New Earth),Public Identity,Neutral Characters,Unknown or None,Brown Hair,Living Characters,15.0,"2009, July",2009.0
1684,Harry Bailey (New Earth),Public Identity,Neutral Characters,Unknown or None,Brown Hair,Living Characters,15.0,"2008, July",2008.0
1685,Ann Preston (New Earth),Public Identity,Neutral Characters,Unknown or None,Red Hair,Living Characters,15.0,"2008, July",2008.0
1686,Buzz Cohen (New Earth),Public Identity,Unknown or None,Unknown or None,Black Hair,Living Characters,15.0,"2000, April",2000.0
1687,Ophidian (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,15.0,"2010, May",2010.0
1688,Equus (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,15.0,"2004, August",2004.0
1689,Warren White (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,15.0,"2003, July",2003.0
1690,Hardhat (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,15.0,"1984, May",1984.0
1691,Warren Griffith (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,15.0,"1980, November",1980.0
1692,Adara (Entity) (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,15.0,"2010, May",2010.0
1693,Proselyte (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,15.0,"2010, May",2010.0
1694,Aa (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,15.0,"1992, February",1992.0
1695,Sin (New Earth),Secret Identity,Unknown or None,Unknown or None,Black Hair,Living Characters,15.0,"2006, May",2006.0
1696,Angelika Bal (New Earth),Unknown,Bad Characters,Unknown or None,Black Hair,Deceased Characters,15.0,"1986, October",1986.0
1697,Hi-Jack (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,15.0,"1966, March",1966.0
1698,Eric Cohen (New Earth),Unknown,Good Characters,Unknown or None,Black Hair,Living Characters,15.0,"2001, March",2001.0
1699,Bynai Bruun (New Earth),Unknown,Good Characters,Unknown or None,Black Hair,Living Characters,15.0,1987.0,1987.0
1700,John Reed (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,15.0,"1988, April",1988.0
1701,John Hillary (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,15.0,"1987, March",1987.0
1702,Ilona Markov (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Deceased Characters,15.0,"1986, February",1986.0
1703,Marion Grange (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Deceased Characters,15.0,"1996, February",1996.0
1704,George Washington (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Living Characters,15.0,"1949, February",1949.0
1705,Parademon (New Earth),Unknown,Neutral Characters,Unknown or None,White Hair,Deceased Characters,15.0,"2005, July",2005.0
1706,Darryl Frye (New Earth),Unknown,Unknown or None,Unknown or None,Unknown or None,Living Characters,15.0,"1980, May",1980.0
1707,Gog I (New Earth),Public Identity,Neutral Characters,White Eyes,Unknown or None,Living Characters,15.0,"2008, March",2008.0
1708,Scavenger (New Earth),Secret Identity,Bad Characters,White Eyes,White Hair,Living Characters,15.0,"1994, March",1994.0
1709,Chaser Bron (New Earth),Secret Identity,Good Characters,Yellow Eyes,Grey Hair,Deceased Characters,15.0,"1993, July",1993.0
1710,"Anthony Angelo, Jr. (New Earth)",Public Identity,Neutral Characters,Auburn Hair,Unknown or None,Living Characters,14.0,"1989, April",1989.0
1711,Achilles Milo (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,14.0,"1957, September",1957.0
1712,Nathaniel Finch (New Earth),Public Identity,Bad Characters,Black Eyes,Brown Hair,Living Characters,14.0,"1997, August",1997.0
1713,Sinclair Batson (New Earth),Public Identity,Bad Characters,Black Eyes,Brown Hair,Deceased Characters,14.0,"1995, March",1995.0
1714,Maash (New Earth),Public Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,14.0,"2007, August",2007.0
1715,KT21 (New Earth),Public Identity,Good Characters,Black Eyes,Blond Hair,Living Characters,14.0,"1985, April",1985.0
1716,Mister Terrible (New Earth),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Living Characters,14.0,"2005, November",2005.0
1717,Moose (New Earth),Secret Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,14.0,"2007, August",2007.0
1718,Jenna Raleigh (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,14.0,"2007, January",2007.0
1719,Ace the Bat-Hound (New Earth),Secret Identity,Good Characters,Black Eyes,Brown Hair,Living Characters,14.0,"1991, May",1991.0
1720,Terrence Kurtzberger (New Earth),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Deceased Characters,14.0,"1940, February",1940.0
1721,Doctor Gotham (New Earth),Identity Unknown,Bad Characters,Blue Eyes,White Hair,Deceased Characters,14.0,"2006, November",2006.0
1722,Harmonia (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,14.0,"1987, February",1987.0
1723,Richard Plante (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,14.0,1993.0,1993.0
1724,Olaf Friedriksen (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,14.0,"1988, April",1988.0
1725,Buddy Smith (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,14.0,"1940, July",1940.0
1726,Travis Cody (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,14.0,"1991, March",1991.0
1727,Hawk Haukins (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,14.0,"1970, December",1970.0
1728,Gilda Gold (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,14.0,"1942, August",1942.0
1729,Persephone (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,14.0,"1985, October",1985.0
1730,Crius (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,14.0,"1985, August",1985.0
1731,Gary Lester (New Earth),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Deceased Characters,14.0,"1988, January",1988.0
1732,Walter Reilly (New Earth),Public Identity,Neutral Characters,Blue Eyes,Grey Hair,Living Characters,14.0,"1982, June",1982.0
1733,Kit Dawn-Langman (New Earth),Public Identity,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,14.0,"1968, May",1968.0
1734,Nyssa Raatko (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,14.0,"2003, August",2003.0
1735,Killer Shark (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,14.0,"1957, January",1957.0
1736,Malcolm Thawne (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,14.0,"1997, November",1997.0
1737,Fred Bentson (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,14.0,"1994, July",1994.0
1738,Javelin (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,14.0,"1984, February",1984.0
1739,Paul Dekker (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,14.0,"1946, June",1946.0
1740,Randy Hanrahan (New Earth),Secret Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,14.0,"1997, November",1997.0
1741,Vera Lynn Black (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,14.0,"2004, August",2004.0
1742,George Cross (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,14.0,"1993, November",1993.0
1743,Nathan Howe (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,14.0,"2005, July",2005.0
1744,Thomas Asquith Randolph (New Earth),Unknown,Bad Characters,Blue Eyes,Red Hair,Deceased Characters,14.0,1992.0,1992.0
1745,Thor (New Earth),Unknown,Good Characters,Blue Eyes,Red Hair,Living Characters,14.0,"1956, October",1956.0
1746,Cheeks (New Earth),Unknown,Unknown or None,Blue Eyes,Blond Hair,Living Characters,14.0,"1985, June",1985.0
1747,Jake Jordan (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,14.0,"2005, May",2005.0
1748,Valerie Andrist (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,14.0,"1997, August",1997.0
1749,Joshua Xan (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,14.0,1993.0,1993.0
1750,Matthew Taylor (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,14.0,"1993, February",1993.0
1751,Yolanda Ybarra (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,14.0,"1989, August",1989.0
1752,Josh Azeveda (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,14.0,"2003, February",2003.0
1753,Gregory Wolfe (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,14.0,,
1754,Queen Bee II (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,14.0,"1988, August",1988.0
1755,Epsilon (New Earth),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Deceased Characters,14.0,"2000, November",2000.0
1756,Bradford Thorne (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,14.0,"1943, July",1943.0
1757,Nik Mayak (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,14.0,1993.0,1993.0
1758,Jack Marshall (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,14.0,"1992, August",1992.0
1759,Rafael di Rienzi (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,14.0,"1988, May",1988.0
1760,Louis Sendak (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,14.0,"1993, November",1993.0
1761,Zou Kang (New Earth),Secret Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,14.0,"2006, June",2006.0
1762,LeTonya Charles (New Earth),Unknown,Bad Characters,Brown Eyes,Black Hair,Living Characters,14.0,"2002, May",2002.0
1763,Chuma (New Earth),Unknown,Bad Characters,Brown Eyes,Unknown or None,Living Characters,14.0,"1987, August",1987.0
1764,Stacy Taglia (New Earth),Unknown,Good Characters,Brown Eyes,Blond Hair,Living Characters,14.0,"1997, September",1997.0
1765,Rachel Keast (New Earth),Unknown,Neutral Characters,Brown Eyes,Black Hair,Living Characters,14.0,"2003, October",2003.0
1766,Francis Dutton (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,14.0,"1997, August",1997.0
1767,Lady Eve (New Earth),Secret Identity,Bad Characters,Green Eyes,Black Hair,Living Characters,14.0,"1985, August",1985.0
1768,Carrie Cutter (New Earth),Secret Identity,Bad Characters,Green Eyes,Red Hair,Living Characters,14.0,"2009, February",2009.0
1769,Sylbert Rundine (New Earth),Secret Identity,Bad Characters,Green Eyes,Red Hair,Living Characters,14.0,"2006, October",2006.0
1770,Virginia Dix (New Earth),Unknown,Good Characters,Green Eyes,Blond Hair,Living Characters,14.0,"1989, August",1989.0
1771,Colleen Franklin (New Earth),Unknown,Good Characters,Green Eyes,Red Hair,Living Characters,14.0,"2011, February",2011.0
1772,Gor (New Earth),Public Identity,Bad Characters,Grey Eyes,Blond Hair,Living Characters,14.0,"2009, January",2009.0
1773,Niccolai Tepes (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Deceased Characters,14.0,"1939, September",1939.0
1774,Chang Tzu (New Earth),Secret Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,14.0,"2006, June",2006.0
1775,Vincent Velcoro (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,14.0,"1980, November",1980.0
1776,Jeremy Tell (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Living Characters,14.0,"2001, August",2001.0
1777,Macklin Arnot (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Living Characters,14.0,"1999, July",1999.0
1778,Elise Kimble (New Earth),Public Identity,Bad Characters,Unknown or None,Red Hair,Living Characters,14.0,"2008, April",2008.0
1779,Malcolm Tandy (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,14.0,"1984, December",1984.0
1780,Panda Potter (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Deceased Characters,14.0,"2006, August",2006.0
1781,Nona Lin-Baker (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,14.0,"1999, March",1999.0
1782,Henry Hogan (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Deceased Characters,14.0,"1997, January",1997.0
1783,Lefty (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,14.0,"1992, November",1992.0
1784,Ned Smith (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,14.0,"1992, June",1992.0
1785,Lord Moonstone (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,14.0,"1983, November",1983.0
1786,Andrew Grubs (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Deceased Characters,14.0,"2004, July",2004.0
1787,Gannon Malloy (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,14.0,"2002, September",2002.0
1788,Janet Drake (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Deceased Characters,14.0,"1989, August",1989.0
1789,Edward Valentine (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,14.0,"1986, January",1986.0
1790,George H. W. Bush (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,14.0,"1986, September",1986.0
1791,Nuada Silverhand (New Earth),Public Identity,Good Characters,Unknown or None,Green Hair,Living Characters,14.0,"1986, February",1986.0
1792,Christine St. Clair (New Earth),Public Identity,Good Characters,Unknown or None,Red Hair,Living Characters,14.0,"1973, November",1973.0
1793,Waylon Grant (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,14.0,"1940, February",1940.0
1794,Angela Revere (New Earth),Public Identity,Neutral Characters,Unknown or None,Black Hair,Living Characters,14.0,"1986, June",1986.0
1795,J. Devlin Davenport (New Earth),Public Identity,Neutral Characters,Unknown or None,Blond Hair,Living Characters,14.0,"1995, May",1995.0
1796,Humphry Dumpler (New Earth),Public Identity,Neutral Characters,Unknown or None,Unknown or None,Living Characters,14.0,"2003, August",2003.0
1797,Fashion Thing (New Earth),Public Identity,Neutral Characters,Unknown or None,White Hair,Living Characters,14.0,"1968, September",1968.0
1798,Kip Kettering (New Earth),Public Identity,Unknown or None,Unknown or None,Red Hair,Living Characters,14.0,"2000, April",2000.0
1799,Maat Shadid (New Earth),Secret Identity,Bad Characters,Unknown or None,Brown Hair,Living Characters,14.0,"2004, May",2004.0
1800,First of the Fallen (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,14.0,"1991, June",1991.0
1801,Confessor (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,14.0,"1982, August",1982.0
1802,Electrocutioner I (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,14.0,"1981, January",1981.0
1803,Manhunter Highmaster (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,14.0,"1975, August",1975.0
1804,Theo Storm (New Earth),Secret Identity,Good Characters,Unknown or None,Black Hair,Living Characters,14.0,"1999, March",1999.0
1805,Dwayne Geyer (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Deceased Characters,14.0,"1993, September",1993.0
