id,Name,Type,Vendor,Calories,Fat (g),Protein (g),Carbohydrate (g),Cholesterol (mg),Saturated Fats (g),Sodium (mg),Serving Weight 1 (g),200 Calorie Weight (g)
196,Potato Home Fries From Fresh,Fries,Other,183.0,11.52,1.96,18.76,0.0,1.589,279.0,200.0,109.29
197,Potato Home Fries From Restaurant / Fast Food,Fries,Other,213.0,15.2,1.87,17.91,0.0,4.959,396.0,200.0,93.897
198,Potato Home Fries Nfs,Fries,Other,195.0,13.03,1.92,18.4,0.0,1.794,341.0,200.0,102.564
199,Potato Home Fries Ready-To-Heat,Fries,Other,195.0,13.03,1.92,18.4,0.0,1.794,341.0,200.0,102.564
200,Potato Home Fries With Vegetables,Fries,Other,171.0,11.77,1.73,15.6,0.0,1.623,382.0,200.0,116.959
201,Potato Patty,Fries,Other,170.0,11.22,3.89,13.4,68.0,3.12,221.0,55.0,117.647
202,Potato Tots Fast Food / Restaurant,Fries,Other,236.0,15.4,1.89,24.31,0.0,3.631,571.0,130.0,84.746
203,Potato Tots From Fresh Fried Or Baked,Fries,Other,236.0,15.46,1.9,24.4,0.0,2.337,421.0,130.0,84.746
204,Potato Tots Frozen Baked,Fries,Other,187.0,9.17,2.03,26.1,0.0,1.493,451.0,130.0,106.952
205,Potato Tots Frozen Fried,Fries,Other,236.0,15.46,1.9,24.4,0.0,2.337,421.0,130.0,84.746
206,Potato Tots Frozen Ns As To Fried Or Baked,Fries,Other,236.0,15.46,1.9,24.4,0.0,2.337,421.0,130.0,84.746
207,Potato Tots Nfs,Fries,Other,236.0,15.46,1.9,24.4,0.0,2.337,421.0,130.0,84.746
208,Potatoes Hash Browns Round Pieces Or Patty,Fries,Other,272.0,17.04,2.58,28.88,0.0,2.54,566.0,5.5,73.529
209,Potato French Fries School,Fries,School Lunch,164.0,9.16,2.02,19.34,0.0,1.266,147.0,2.0,121.951
210,Potato French Fries With Cheese School,Fries,School Lunch,179.0,10.29,4.55,17.81,8.0,2.4,195.0,11.0,111.732
211,Potato Hash Brown From School Lunch,Fries,School Lunch,218.0,11.54,2.64,28.4,0.0,0.93,169.0,55.0,91.743
212,Potato Tots School,Fries,School Lunch,164.0,9.16,2.02,19.34,0.0,1.266,147.0,130.0,121.951
213,Wendys French Fries,Fries,Wendys,301.0,14.1,3.73,39.73,0.0,2.79,219.0,71.0,66.445
214,Frankfurter Or Hot Dog Sandwich Beef And Pork Plain On Multigrain Bread,Hot Dog,Other,287.0,17.32,11.72,20.9,50.0,5.248,753.0,93.0,69.686
215,Frankfurter Or Hot Dog Sandwich Beef And Pork Plain On Wheat Bread,Hot Dog,Other,291.0,18.64,10.56,20.03,55.0,5.594,819.0,85.0,68.729
216,Frankfurter Or Hot Dog Sandwich Beef And Pork Plain On White Bread,Hot Dog,Other,288.0,18.22,9.93,20.68,55.0,5.595,824.0,85.0,69.444
217,Frankfurter Or Hot Dog Sandwich Beef Plain On Multigrain Bread,Hot Dog,Other,306.0,19.77,12.71,18.69,37.0,7.731,678.0,93.0,65.359
218,Frankfurter Or Hot Dog Sandwich Beef Plain On Wheat Bread,Hot Dog,Other,313.0,21.33,11.77,17.76,41.0,8.319,736.0,85.0,63.898
219,Frankfurter Or Hot Dog Sandwich Beef Plain On White Bread,Hot Dog,Other,310.0,20.93,11.17,18.38,41.0,8.319,741.0,85.0,64.516
220,Frankfurter Or Hot Dog Sandwich Chicken And/or Turkey Plain On Multigrain Bread,Hot Dog,Other,246.0,12.08,15.18,18.54,62.0,2.825,777.0,93.0,81.301
221,Frankfurter Or Hot Dog Sandwich Chicken And/or Turkey Plain On Wheat Bread,Hot Dog,Other,248.0,12.92,14.46,17.59,68.0,2.952,845.0,85.0,80.645
222,Frankfurter Or Hot Dog Sandwich Chicken And/or Turkey Plain On White Bread,Hot Dog,Other,245.0,12.52,13.86,18.21,68.0,2.952,850.0,85.0,81.633
223,Frankfurter Or Hot Dog Sandwich Fat Free Plain On Multigrain Bread,Hot Dog,Other,173.0,2.66,13.24,24.01,26.0,0.66,687.0,93.0,115.607
224,Frankfurter Or Hot Dog Sandwich Fat Free Plain On Wheat Bread,Hot Dog,Other,167.0,2.62,12.34,23.57,29.0,0.582,746.0,85.0,119.76
225,Frankfurter Or Hot Dog Sandwich Fat Free Plain On White Bread,Hot Dog,Other,165.0,2.22,11.74,24.19,29.0,0.583,752.0,85.0,121.212
226,Frankfurter Or Hot Dog Sandwich Meat And Poultry Plain On Multigrain Bread,Hot Dog,Other,281.0,17.24,11.44,20.02,50.0,5.23,746.0,93.0,71.174
227,Frankfurter Or Hot Dog Sandwich Meat And Poultry Plain On Wheat Bread,Hot Dog,Other,286.0,18.56,10.38,19.2,55.0,5.582,810.0,85.0,69.93
228,Frankfurter Or Hot Dog Sandwich Meat And Poultry Plain On White Bread,Hot Dog,Other,283.0,18.16,9.78,19.82,55.0,5.583,816.0,85.0,70.671
229,Frankfurter Or Hot Dog Sandwich Meatless On Bread With Meatless Chili,Hot Dog,Other,187.0,7.99,12.42,17.1,7.0,1.283,455.0,162.0,106.952
230,Frankfurter Or Hot Dog Sandwich Meatless Plain On Bread,Hot Dog,Other,242.0,10.76,16.54,19.62,0.0,1.38,476.0,98.0,82.645
231,Frankfurter Or Hot Dog Sandwich NFS Plain On Multigrain Bread,Hot Dog,Other,306.0,19.77,12.71,18.69,37.0,7.731,678.0,93.0,65.359
232,Frankfurter Or Hot Dog Sandwich NFS Plain On Wheat Bread,Hot Dog,Other,313.0,21.33,11.77,17.76,41.0,8.319,736.0,85.0,63.898
233,Frankfurter Or Hot Dog Sandwich NFS Plain On White Bread,Hot Dog,Other,310.0,20.93,11.17,18.38,41.0,8.319,741.0,85.0,64.516
234,Frankfurter Or Hot Dog Sandwich Reduced Fat Or Light Plain On Multigrain Bread,Hot Dog,Other,181.0,3.44,15.17,22.2,28.0,0.963,750.0,93.0,110.497
235,Frankfurter Or Hot Dog Sandwich Reduced Fat Or Light Plain On Wheat Bread,Hot Dog,Other,176.0,3.47,14.46,21.59,31.0,0.914,815.0,85.0,113.636
236,Frankfurter Or Hot Dog Sandwich Reduced Fat Or Light Plain On White Bread,Hot Dog,Other,173.0,3.07,13.86,22.21,31.0,0.915,821.0,85.0,115.607
237,Frankfurter Or Hot Dog Sandwich Reduced Fat Or Light Plain On Whole Grain White Bread,Hot Dog,Other,170.0,2.64,14.13,22.42,28.0,0.87,788.0,93.0,117.647
238,Frankfurter Or Hot Dog Sandwich With Chili On Multigrain Bread,Hot Dog,Other,225.0,13.12,9.9,16.41,26.0,5.09,584.0,157.0,88.889
239,Frankfurter Or Hot Dog Sandwich With Chili On Wheat Bread,Hot Dog,Other,224.0,13.66,9.2,15.76,27.0,5.284,613.0,149.0,89.286
240,Frankfurter Or Hot Dog Sandwich With Chili On White Bread,Hot Dog,Other,223.0,13.43,8.86,16.11,27.0,5.284,616.0,149.0,89.686
241,Frankfurter Or Hot Dog Sandwich With Meatless Chili On Multigrain Bread,Hot Dog,Other,223.0,13.24,10.03,16.47,29.0,5.041,574.0,157.0,89.686
242,Frankfurter Or Hot Dog Sandwich With Meatless Chili On Wheat Bread,Hot Dog,Other,223.0,13.78,9.34,15.82,31.0,5.232,601.0,149.0,89.686
243,Frankfurter Or Hot Dog Sandwich With Meatless Chili On White Bread,Hot Dog,Other,221.0,13.56,9.0,16.17,31.0,5.233,605.0,149.0,90.498
244,McDonalds Hot Caramel Sundae,Ice Cream,McDonalds,188.0,4.89,3.58,33.36,16.0,2.468,80.0,182.0,106.383
245,McDonalds Hot Fudge Sundae,Ice Cream,McDonalds,186.0,5.91,4.14,30.05,13.0,3.592,94.0,179.0,107.527
246,McDonalds Mcflurry With M&Ms,Ice Cream,McDonalds,177.0,6.46,4.02,26.82,16.0,3.402,54.0,348.0,112.994
247,McDonalds Mcflurry With Oreo Cookies,Ice Cream,McDonalds,165.0,5.66,3.97,25.55,15.0,2.577,75.0,337.0,121.212
248,McDonalds Strawberry Sundae,Ice Cream,McDonalds,158.0,3.95,3.19,28.09,13.0,2.008,47.0,178.0,126.582
249,McDonalds Vanilla Reduced Fat Ice Cream Cone,Ice Cream,McDonalds,162.0,4.86,4.24,26.36,15.0,2.41,67.0,90.0,123.457
250,Blended Soft Serve Ice Cream With Cookies,Ice Cream,Other,169.0,5.66,3.97,25.55,15.0,2.754,75.0,337.0,118.343
251,Sundae Caramel,Ice Cream,Other,196.0,5.98,4.71,31.81,16.0,2.91,126.0,155.0,102.041
252,Sundae Hot Fudge,Ice Cream,Other,180.0,5.46,3.57,30.17,13.0,3.179,115.0,158.0,111.111
253,Sundae Strawberry,Ice Cream,Other,175.0,5.13,4.09,29.18,14.0,2.444,60.0,153.0,114.286
254,Vanilla Light Soft-Serve Ice Cream With Cone,Ice Cream,Other,163.0,4.86,4.24,26.36,15.0,2.542,81.0,120.0,122.699
255,Ice Creams Vanilla Light,Ice Cream,Other,180.0,4.83,4.78,29.46,27.0,2.927,74.0,76.0,111.111
256,Ice Creams Vanilla Rich,Ice Cream,Other,249.0,16.2,3.5,22.29,92.0,10.329,61.0,107.0,80.321
257,Ice Creams Vanilla,Ice Cream,Other,207.0,11.0,3.5,23.6,44.0,6.79,80.0,76.0,111.111
258,Ice Creams Vanilla Light Soft-Serve,Ice Cream,Other,126.0,2.6,4.9,21.8,12.0,1.63,70.0,107.0,80.321
259,Ice Creams Chocolate Light,Ice Cream,Other,187.0,7.19,5.0,25.7,28.0,4.38,71.0,66.0,96.618
260,Frozen Novelties Ice Cream Type Vanilla Ice Cream Light No Sugar Added Chocolate Coated,Ice Cream,Other,221.0,10.1,6.4,26.11,10.0,5.528,104.0,88.0,158.73
261,Ice Creams French Vanilla Soft-Serve,Ice Cream,Other,222.0,13.0,4.1,22.2,91.0,7.48,61.0,68.0,106.952
262,Frozen Novelties Ice Cream Type Chocolate Or Caramel Covered With Nuts,Ice Cream,Other,323.0,20.2,4.4,30.9,1.0,12.658,92.0,78.0,90.498
263,Frozen Novelties Ice Type Pop With Low Calorie Sweetener,Ice Cream,Other,24.0,0.0,0.0,5.92,0.0,0.0,10.0,86.0,90.09
264,Ice Creams Chocolate Rich,Ice Cream,Other,251.0,16.98,4.72,19.78,60.0,10.377,57.0,54.0,61.92
265,Ice Creams Chocolate,Ice Cream,Other,216.0,11.0,3.8,28.2,34.0,6.8,76.0,55.0,833.333
266,Ice Creams Strawberry,Ice Cream,Other,192.0,8.4,3.2,27.6,29.0,5.19,60.0,148.0,79.681
267,Wendys Frosty Dairy Dessert,Ice Cream,Wendys,132.0,2.6,3.49,23.62,16.0,1.635,98.0,113.0,151.515
268,Restaurant Latino Black Bean Soup,Latino,Other,103.0,2.57,5.1,14.79,4.9,0.535,0.535,311.0,246.0
269,Restaurant Latino Arroz Con Leche (Rice Pudding),Latino,Other,146.0,3.69,3.2,24.92,0.5,1.899,1.899,106.0,283.0
270,Restaurant Latino Tamale Pork,Latino,Other,174.0,9.04,7.35,15.75,2.4,2.692,2.692,473.0,142.0
271,Restaurant Latino Tamale Corn,Latino,Other,186.0,7.21,3.48,26.68,3.2,2.692,2.629,277.0,166.0
272,Restaurant Latino Arepa (Unleavened Cornmeal Bread),Latino,Other,219.0,5.38,5.48,37.14,2.6,2.902,2.902,270.0,98.0
273,Restaurant Latino Pupusas Con Frijoles (Pupusas Bean),Latino,Other,229.0,9.01,5.59,31.49,5.8,2.188,2.188,305.0,126.0
274,Restaurant Latino Pupusas Del Cerdo (Pupusas Pork),Latino,Other,232.0,10.43,11.51,23.02,2.6,3.166,3.166,426.0,122.0
275,Restaurant Latino Pupusas Con Queso (Pupusas Cheese),Latino,Other,256.0,13.25,11.72,22.39,2.9,6.479,6.479,400.0,117.0
276,Restaurant Latino Empanadas Beef Prepared,Latino,Other,335.0,18.37,11.31,31.19,2.0,5.156,5.156,440.0,89.0
277,Nachos With Cheese,Nachos,Other,343.0,21.5,4.32,34.91,3.0,2.173,313.0,80.0,58.309
278,Nachos With Cheese Beans Ground Beef And Tomatoes,Nachos,Other,219.0,12.48,6.21,21.39,14.0,2.549,348.0,222.0,91.324
279,Taco Bell Nachos,Nachos,Taco Bell,350.0,21.5,4.32,34.91,3.0,2.173,313.0,80.0,57.143
280,Taco Bell Nachos Supreme,Nachos,Taco Bell,223.0,12.48,6.21,21.39,14.0,2.549,348.0,222.0,89.686
281,McDonalds Big Breakfast,Other,McDonalds,285.0,19.37,10.16,17.5,173.0,6.405,549.0,269.0,70.175
282,McDonalds Deluxe Breakfast With Syrup And Margarine,Other,McDonalds,285.0,15.23,7.56,29.48,109.0,4.642,437.0,420.0,70.175
283,McDonalds Fruit N Yogurt Parfait,Other,McDonalds,105.0,1.3,2.73,20.72,5.0,0.041,58.0,149.0,190.476
284,McDonalds Fruit N Yogurt Parfait (Without Granola),Other,McDonalds,90.0,1.13,2.47,17.67,5.0,0.004,38.0,142.0,222.222
285,McDonalds Hotcakes (Plain),Other,McDonalds,228.0,5.84,6.0,38.27,13.0,1.158,358.0,149.0,87.719
286,McDonalds Hotcakes And Sausage,Other,McDonalds,294.0,12.5,7.81,37.55,19.0,3.646,484.0,192.0,68.027
287,McDonalds Ranch Snack Wrap Crispy,Other,McDonalds,275.0,15.1,11.48,23.22,29.0,3.837,607.0,133.0,72.727
288,McDonalds Ranch Snack Wrap Grilled,Other,McDonalds,222.0,10.31,13.77,18.43,41.0,3.363,577.0,123.0,90.09
289,Egg Scrambled,Other,Other,212.0,16.18,13.84,2.08,426.0,6.153,187.0,96.0,94.34
290,Bibimbap Korean,Other,Other,79.0,2.81,5.38,8.34,12.0,0.681,422.0,162.0,253.165
291,Bruschetta,Other,Other,173.0,7.7,4.03,22.18,0.0,0.873,238.0,43.0,115.607
292,Dukboki Or Tteokbokki Korean,Other,Other,132.0,4.06,3.91,19.86,6.0,0.939,197.0,250.0,151.515
293,Hors D'oeuvres With Spread,Other,Other,206.0,4.85,11.37,28.79,40.0,0.998,409.0,23.0,97.087
294,Miniature Cinnamon Rolls,Other,Other,403.0,17.95,7.02,53.38,21.0,4.701,554.0,25.0,49.628
295,Pig In A Blanket Frankfurter Or Hot Dog Wrapped In Dough,Other,Other,324.0,21.9,11.82,19.37,42.0,8.513,733.0,85.0,61.728
296,Potato Mashed,Other,Other,89.0,2.82,1.65,14.65,0.0,0.577,306.0,242.0,224.719
297,Shrimp Breaded And Fried,Other,Other,308.0,18.9,7.84,27.99,58.0,3.843,897.0,39.0,64.935
298,Strawberry Banana Smoothie Made With Ice And Low-Fat Yogurt,Other,Other,65.0,0.14,0.86,15.05,1.0,0.0,14.0,347.0,307.692
299,McDonalds Pancakes,Pancake,McDonalds,272.0,8.06,4.05,46.08,9.0,0.818,283.0,221.0,73.529
300,Blintz Cheese-Filled,Pancake,Other,186.0,7.63,9.06,20.12,85.0,2.127,452.0,70.0,107.527
301,Blintz Fruit-Filled,Pancake,Other,175.0,6.2,5.56,24.78,66.0,1.703,198.0,70.0,114.286
302,Chinese Pancake,Pancake,Other,207.0,0.38,4.05,45.38,0.0,0.102,5.0,28.0,96.618
303,Crepe Chocolate Filled,Pancake,Other,156.0,5.52,5.46,20.82,62.0,2.154,191.0,80.0,128.205
304,Crepe Fruit Filled,Pancake,Other,184.0,6.96,4.55,26.46,67.0,1.769,182.0,80.0,108.696
305,Crepe Nfs,Pancake,Other,223.0,10.95,8.74,21.72,138.0,3.407,287.0,80.0,89.686
306,Crepe Ns As To Filling,Pancake,Other,184.0,6.96,4.55,26.45,67.0,1.769,182.0,80.0,108.696
307,Crepe Plain,Pancake,Other,223.0,10.95,8.74,21.72,138.0,3.407,287.0,65.0,89.686
308,Dosa (Indian) Plain,Pancake,Other,209.0,3.96,5.7,37.08,0.0,0.574,309.0,35.0,95.694
309,Pancakes Buckwheat,Pancake,Other,267.0,12.66,8.0,31.73,62.0,3.274,342.0,10.0,74.906
310,Pancakes Cornmeal,Pancake,Other,202.0,5.91,4.76,32.0,35.0,1.387,655.0,10.0,99.01
311,Pancakes Nfs,Pancake,Other,278.0,11.87,7.4,35.31,60.0,3.097,652.0,10.0,71.942
312,Pancakes Plain,Pancake,Other,278.0,11.87,7.4,35.31,60.0,3.097,652.0,10.0,71.942
313,Pancakes Plain From Fast Food / Restaurant,Pancake,Other,303.0,15.29,7.15,34.13,58.0,3.515,683.0,10.0,66.007
314,Pancakes Plain Reduced Fat From Fozen,Pancake,Other,262.0,9.54,7.56,36.09,61.0,2.811,667.0,10.0,76.336
315,Pancakes Pumpkin,Pancake,Other,238.0,9.92,6.36,30.94,50.0,2.602,543.0,10.0,84.034
316,Pancakes Whole Grain,Pancake,Other,271.0,12.1,7.85,32.87,62.0,3.095,729.0,10.0,73.801
317,Pancakes Whole Grain And Nuts From Fast Food / Restaurant,Pancake,Other,351.0,22.98,7.92,30.09,53.0,3.926,677.0,10.0,56.98
318,Pancakes Whole Grain From Fast Food / Restaurant,Pancake,Other,296.0,15.61,7.58,31.73,60.0,3.526,758.0,10.0,67.568
319,Pancakes Whole Grain From Frozen,Pancake,Other,232.0,6.75,5.54,38.55,17.0,1.146,447.0,10.0,86.207
320,Pancakes Whole Grain Reduced Fat,Pancake,Other,253.0,9.69,8.03,33.62,63.0,2.799,745.0,10.0,79.051
321,Pancakes Whole Grain Reduced Fat From Frozen,Pancake,Other,232.0,6.75,5.54,38.55,17.0,1.146,447.0,10.0,86.207
322,Pancakes With Chocolate,Pancake,Other,338.0,15.77,7.67,41.17,54.0,6.26,557.0,10.0,59.172
323,Pancakes With Chocolate From Fast Food / Restaurant,Pancake,Other,357.0,18.52,7.45,40.01,53.0,6.52,586.0,10.0,56.022
324,Pancakes With Chocolate From Frozen,Pancake,Other,248.0,7.97,5.35,38.83,18.0,2.029,442.0,10.0,80.645
325,Pancakes With Fruit,Pancake,Other,230.0,9.39,5.85,30.62,47.0,2.419,507.0,10.0,86.957
326,Pancakes With Fruit From Fast Food / Restaurant,Pancake,Other,250.0,12.12,5.7,29.82,45.0,2.764,535.0,10.0,80.0
327,Pancakes With Fruit From Frozen,Pancake,Other,224.0,6.52,4.99,36.47,17.0,1.107,438.0,10.0,89.286
328,Pancakes From School Nfs,Pancake,School Lunch,231.0,6.57,6.26,40.43,16.0,1.109,415.0,10.0,86.58
329,Digiorno Pizza Cheese Topping Cheese Stuffed Crust Frozen Baked,Pizza,Digiorno,279.0,11.68,13.48,29.86,28.0,5.63,806.0,164.0,71.685
330,Digiorno Pizza Cheese Topping Rising Crust Frozen Baked,Pizza,Digiorno,256.0,8.6,12.8,31.78,15.0,3.514,696.0,183.0,78.125
331,Digiorno Pizza Cheese Topping Thin Crispy Crust Frozen Baked,Pizza,Digiorno,247.0,9.91,12.96,26.47,21.0,4.601,506.0,161.0,80.972
332,Digiorno Pizza Pepperoni Topping Cheese Stuffed Crust Frozen Baked,Pizza,Digiorno,279.0,11.71,13.92,29.46,24.0,5.007,753.0,179.0,71.685
333,Digiorno Pizza Pepperoni Topping Rising Crust Frozen Baked,Pizza,Digiorno,265.0,10.11,12.46,31.15,18.0,3.761,743.0,207.0,75.472
334,Digiorno Pizza Pepperoni Topping Thin Crispy Crust Frozen Baked,Pizza,Digiorno,283.0,12.86,13.22,28.67,28.0,4.973,663.0,145.0,70.671
335,Digiorno Pizza Supreme Topping Rising Crust Frozen Baked,Pizza,Digiorno,255.0,10.68,11.74,27.93,19.0,3.965,712.0,227.0,78.431
336,Digiorno Pizza Supreme Topping Thin Crispy Crust Frozen Baked,Pizza,Digiorno,255.0,10.8,11.41,28.05,20.0,4.377,555.0,155.0,78.431
337,Dominos 14 Inch Cheese Pizza Classic Hand-Tossed Crust,Pizza,Dominos,257.0,8.97,10.8,33.24,17.0,4.11,523.0,108.0,77.821
338,Dominos 14 Inch Cheese Pizza Crunchy Thin Crust,Pizza,Dominos,298.0,15.1,12.33,28.18,27.0,6.345,628.0,70.0,67.114
339,Dominos 14 Inch Cheese Pizza Ultimate Deep Dish Crust,Pizza,Dominos,265.0,9.83,10.76,33.48,16.0,4.062,615.0,118.0,75.472
340,Dominos 14 Inch Extravaganzza Feast Pizza Classic Hand-Tossed Crust,Pizza,Dominos,244.0,11.1,10.33,25.72,20.0,4.386,456.0,151.0,81.967
341,Dominos 14 Inch Pepperoni Pizza Classic Hand-Tossed Crust,Pizza,Dominos,273.0,11.18,11.25,31.86,25.0,4.779,611.0,113.0,73.26
342,Dominos 14 Inch Pepperoni Pizza Crunchy Thin Crust,Pizza,Dominos,328.0,19.05,13.88,25.35,38.0,7.557,783.0,79.0,60.976
343,Dominos 14 Inch Pepperoni Pizza Ultimate Deep Dish Crust,Pizza,Dominos,283.0,12.1,11.52,31.89,24.0,4.856,693.0,123.0,70.671
344,Dominos 14 Inch Sausage Pizza Classic Hand-Tossed Crust,Pizza,Dominos,273.0,11.2,11.08,31.84,21.0,4.607,594.0,114.0,73.26
345,Dominos 14 Inch Sausage Pizza Crunchy Thin Crust,Pizza,Dominos,319.0,18.52,12.77,25.3,35.0,7.079,725.0,78.0,62.696
346,Dominos 14 Inch Sausage Pizza Ultimate Deep Dish Crust,Pizza,Dominos,277.0,12.03,11.03,31.17,23.0,4.755,677.0,129.0,72.202
347,Little Caesars 14 Inch Cheese Pizza Large Deep Dish Crust,Pizza,Little Caesars,263.0,10.22,12.63,30.1,23.0,4.237,432.0,102.0,76.046
348,Little Caesars 14 Inch Cheese Pizza Thin Crust,Pizza,Little Caesars,309.0,16.99,16.23,22.85,39.0,7.327,455.0,48.0,64.725
349,Little Caesars 14 Inch Original Round Cheese Pizza Regular Crust,Pizza,Little Caesars,265.0,9.54,13.39,31.5,24.0,4.206,454.0,89.0,75.472
350,Little Caesars 14 Inch Original Round Meat And Vegetable Pizza Regular Crust,Pizza,Little Caesars,243.0,11.35,12.12,23.1,31.0,4.561,578.0,115.0,82.305
351,Little Caesars 14 Inch Original Round Pepperoni Pizza Regular Crust,Pizza,Little Caesars,273.0,10.5,13.59,31.01,28.0,4.541,518.0,90.0,73.26
352,Little Caesars 14 Inch Pepperoni Pizza Large Deep Dish Crust,Pizza,Little Caesars,265.0,10.81,12.93,29.03,26.0,4.314,492.0,104.0,75.472
353,Papa Johns 14 Inch Cheese Pizza Original Crust,Pizza,Papa Johns,260.0,9.25,11.53,32.74,19.0,3.871,578.0,117.0,76.923
354,Papa Johns 14 Inch Cheese Pizza Thin Crust,Pizza,Papa Johns,295.0,15.66,12.29,26.26,28.0,6.202,528.0,87.0,67.797
355,Papa Johns 14 Inch Pepperoni Pizza Original Crust,Pizza,Papa Johns,275.0,11.86,11.97,30.04,26.0,4.908,671.0,123.0,72.727
356,Papa Johns 14 Inch The Works Pizza Original Crust,Pizza,Papa Johns,240.0,10.21,10.27,26.69,21.0,3.765,570.0,153.0,83.333
357,Pizza Hut 12 Inch Cheese Pizza Hand-Tossed Crust,Pizza,Pizza Hut,271.0,10.89,11.93,31.22,24.0,5.04,685.0,96.0,73.801
358,Pizza Hut 12 Inch Cheese Pizza Pan Crust,Pizza,Pizza Hut,280.0,12.56,11.73,29.93,21.0,5.184,624.0,100.0,71.429
359,Pizza Hut 12 Inch Cheese Pizza Thin N Crispy Crust,Pizza,Pizza Hut,303.0,14.1,15.29,28.64,34.0,6.896,784.0,69.0,66.007
360,Pizza Hut 12 Inch Pepperoni Pizza Hand-Tossed Crust,Pizza,Pizza Hut,280.0,11.38,12.86,31.55,26.0,5.161,801.0,96.0,71.429
361,Pizza Hut 12 Inch Pepperoni Pizza Pan Crust,Pizza,Pizza Hut,298.0,14.21,11.97,30.49,25.0,5.271,692.0,96.0,67.114
362,Pizza Hut 12 Inch Super Supreme Pizza Hand-Tossed Crust,Pizza,Pizza Hut,243.0,10.72,10.9,25.62,20.0,4.554,689.0,127.0,82.305
363,Pizza Hut 14 Inch Cheese Pizza Hand-Tossed Crust,Pizza,Pizza Hut,275.0,10.42,11.98,33.42,18.0,4.819,674.0,105.0,72.727
364,Pizza Hut 14 Inch Cheese Pizza Pan Crust,Pizza,Pizza Hut,276.0,11.25,10.85,32.85,18.0,4.39,580.0,112.0,72.464
365,Pizza Hut 14 Inch Cheese Pizza Stuffed Crust,Pizza,Pizza Hut,274.0,11.63,12.23,30.0,30.0,5.825,615.0,117.0,72.993
366,Pizza Hut 14 Inch Cheese Pizza Thin N Crispy Crust,Pizza,Pizza Hut,306.0,12.8,13.37,34.22,30.0,6.103,857.0,79.0,65.359
367,Pizza Hut 14 Inch Pepperoni Pizza Hand-Tossed Crust,Pizza,Pizza Hut,291.0,12.63,12.23,32.11,26.0,5.404,759.0,110.0,68.729
368,Pizza Hut 14 Inch Pepperoni Pizza Pan Crust,Pizza,Pizza Hut,291.0,13.07,11.47,31.79,23.0,4.823,676.0,113.0,68.729
369,Pizza Hut 14 Inch Pepperoni Pizza Thin N Crispy Crust,Pizza,Pizza Hut,333.0,16.17,14.13,32.66,37.0,6.674,967.0,80.0,60.06
370,Pizza Hut 14 Inch Sausage Pizza Hand-Tossed Crust,Pizza,Pizza Hut,287.0,13.5,11.92,29.39,26.0,5.459,671.0,119.0,69.686
371,Pizza Hut 14 Inch Sausage Pizza Pan Crust,Pizza,Pizza Hut,287.0,13.85,11.08,29.56,23.0,4.855,596.0,125.0,69.686
372,Pizza Hut 14 Inch Sausage Pizza Thin N Crispy Crust,Pizza,Pizza Hut,323.0,16.9,13.95,28.7,37.0,6.698,839.0,92.0,61.92
373,Pizza Hut 14 Inch Super Supreme Pizza Hand-Tossed Crust,Pizza,Pizza Hut,248.0,10.95,11.34,26.01,28.0,4.217,658.0,123.0,80.645
374,Pizza With Meat Other Than Pepperoni From School Lunch Medium Crust,Pizza,School Lunch,254.0,8.45,12.94,31.41,26.0,3.854,445.0,147.0,78.74
375,Pizza With Pepperoni From School Lunch Medium Crust,Pizza,School Lunch,256.0,9.22,13.56,29.77,24.0,3.515,484.0,147.0,78.125
376,School Lunch Pizza Big Daddys Ls 16 Inch 51% Whole Grain Rolled Edge Cheese Pizza Frozen,Pizza,School Lunch,243.0,8.81,13.89,27.1,18.0,4.14,400.0,155.0,82.305
377,School Lunch Pizza Cheese Topping Thick Crust Whole Grain Frozen Cooked,Pizza,School Lunch,254.0,9.27,14.62,28.08,19.0,4.358,421.0,124.0,78.74
378,School Lunch Pizza Cheese Topping Thin Crust Whole Grain Frozen Cooked,Pizza,School Lunch,247.0,7.91,12.72,31.31,12.0,4.0,421.0,130.0,80.972
379,School Lunch Pizza Pepperoni Topping Thick Crust Whole Grain Frozen Cooked,Pizza,School Lunch,259.0,9.82,14.35,28.3,24.0,4.219,474.0,124.0,77.22
380,School Lunch Pizza Pepperoni Topping Thin Crust Whole Grain Frozen Cooked,Pizza,School Lunch,254.0,8.62,12.78,31.24,24.0,2.81,495.0,127.0,78.74
381,School Lunch Pizza Sausage Topping Thick Crust Whole Grain Frozen Cooked,Pizza,School Lunch,257.0,9.07,13.26,30.58,26.0,4.219,433.0,129.0,77.821
382,School Lunch Pizza Sausage Topping Thin Crust Whole Grain Frozen Cooked,Pizza,School Lunch,250.0,7.83,12.63,32.24,25.0,3.488,457.0,133.0,80.0
383,School Lunch Pizza Tonys Breakfast Pizza Sausage Frozen,Pizza,School Lunch,240.0,10.04,10.39,26.99,20.0,3.47,600.0,91.0,83.333
384,School Lunch Pizza Tonys Smartpizza Whole Grain 4x6 Cheese Pizza 50/50 Cheese Frozen,Pizza,School Lunch,233.0,7.51,12.08,29.27,12.0,2.79,400.0,130.0,85.837
385,School Lunch Pizza Tonys Smartpizza Whole Grain 4x6 Pepperoni Pizza 50/50 Cheese Frozen,Pizza,School Lunch,238.0,8.19,12.14,28.84,12.0,2.81,470.0,127.0,84.034
386,Kfc Coleslaw,Salad,KFC,144.0,8.64,0.91,15.65,2.0,1.303,189.0,112.0,138.889
